CODUFMUN,MEDIA_PROF
320530,20.842928216062543
355030,28.397170029389425
420540,28.75399361022364
250750,31.253246753246753
310620,31.503911242906078
240810,32.2638950644731
330455,32.34109253387143
510340,32.36384514435696
410690,32.49458452473789
292740,32.59959366799289
520870,32.64311454311454
221100,33.14044750430293
211130,33.43045525902669
431490,34.28030425635216
280030,34.912094064949606
150140,35.284388866478416
261160,35.76185838122139
160030,37.01113585746103
270430,37.24638062648065
500270,39.101317957166394
230440,40.487690765289074
172100,40.65853658536585
120040,40.888489208633096
530010,42.90323387231205
140010,44.82881773399015
130260,48.68472222222222
110020,50.56078191814294
